year,player,wins,losses,games_played,saves,hits,strikeouts,wild_pitches,runs_allowed,teams
2001,Alan Embree,1,4,61,0,65,59,3,47,"['Chicago White Sox', 'San Francisco Giants']"
2001,Andy Pettitte,15,10,31,0,224,164,2,103,['New York Yankees']
2001,Arthur Rhodes,8,0,71,3,46,83,3,14,['Seattle Mariners']
2001,Bartolo Colon,14,12,34,0,220,201,4,106,['Cleveland Indians']
2001,Billy Wagner,2,5,64,39,44,79,3,19,['Houston Astros']
2001,Bobby Witt,4,1,14,0,36,31,2,23,['Arizona Diamondbacks']
2001,Bret Saberhagen,1,2,3,0,19,10,0,11,['Boston Red Sox']
2001,Bronson Arroyo,5,7,24,0,99,39,4,54,['Pittsburgh Pirates']
2001,Bruce Chen,7,7,27,0,146,126,5,90,"['New York Mets', 'Philadelphia Phillies']"
2001,CC Sabathia,17,5,33,0,149,171,7,93,['Cleveland Indians']
2001,Chan Ho Park,15,11,36,0,183,218,3,98,['Los Angeles Dodgers']
2001,Chuck Finley,8,7,22,0,131,96,1,78,['Cleveland Indians']
2001,Curt Schilling,22,6,35,0,237,293,4,86,['Arizona Diamondbacks']
2001,Dan Plesac,4,5,62,1,34,68,1,18,['Toronto Blue Jays']
2001,Darren Oliver,11,11,28,0,189,104,8,109,['Texas Rangers']
2001,David Cone,9,7,25,0,148,115,9,74,['Boston Red Sox']
2001,David Weathers,4,5,80,4,65,66,0,24,"['Chicago Cubs', 'Milwaukee Brewers']"
2001,David Wells,5,7,16,0,120,59,2,55,['Chicago White Sox']
2001,Derek Lowe,5,10,67,24,103,82,4,39,['Boston Red Sox']
2001,Eddie Guardado,7,1,67,12,47,67,4,27,['Minnesota Twins']
2001,Greg Maddux,17,11,34,0,220,173,2,86,['Atlanta Braves']
2001,Greg Swindell,2,6,64,2,51,42,1,27,['Arizona Diamondbacks']
2001,Jamey Wright,11,12,33,0,201,129,6,115,['Milwaukee Brewers']
2001,Jamie Moyer,20,6,33,0,187,119,1,84,['Seattle Mariners']
2001,Jason Isringhausen,4,3,65,34,54,74,2,24,['Oakland Athletics']
2001,Jeff Fassero,4,4,82,12,66,79,3,31,['Chicago Cubs']
2001,Jeff Suppan,10,14,34,0,227,120,6,120,['Kansas City Royals']
2001,Jesse Orosco,0,1,35,0,17,21,0,7,['Los Angeles Dodgers']
2001,Joaquin Benoit,0,0,1,0,8,4,0,6,['Texas Rangers']
2001,John Franco,6,2,58,2,55,50,4,25,['New York Mets']
2001,John Smoltz,3,3,36,10,53,57,0,24,['Atlanta Braves']
2001,Jose Mesa,3,3,71,42,65,59,2,26,['Philadelphia Phillies']
2001,Jose Santiago,4,6,73,0,106,43,1,47,"['Kansas City Royals', 'Philadelphia Phillies']"
2001,Julian Tavarez,10,9,34,0,172,107,2,98,['Chicago Cubs']
2001,Kenny Rogers,5,7,20,0,150,74,4,88,['Texas Rangers']
2001,Kevin Appier,11,10,33,0,181,172,12,89,['New York Mets']
2001,Kevin Brown,10,4,20,0,94,104,3,41,['Los Angeles Dodgers']
2001,Kevin Millwood,7,7,21,0,121,84,5,66,['Atlanta Braves']
2001,Kyle Farnsworth,4,6,76,2,65,107,2,26,['Chicago Cubs']
2001,Kyle Lohse,4,7,19,0,102,64,5,60,['Minnesota Twins']
2001,LaTroy Hawkins,1,5,62,28,59,36,7,34,['Minnesota Twins']
2001,Livan Hernandez,13,15,34,0,266,138,7,143,['San Francisco Giants']
2001,Mariano Rivera,4,6,71,50,61,83,1,24,['New York Yankees']
2001,Mark Buehrle,16,8,32,0,188,126,1,89,['Chicago White Sox']
2001,Michael Jackson,5,3,67,4,68,46,2,36,['Houston Astros']
2001,Miguel Batista,11,8,48,0,113,90,6,57,['Arizona Diamondbacks']
2001,Mike Fetters,3,2,54,9,49,37,7,32,"['Los Angeles Dodgers', 'Pittsburgh Pirates']"
2001,Mike Hampton,14,13,32,0,236,122,6,138,['Colorado Rockies']
2001,Mike Morgan,1,0,31,0,45,24,2,20,['Arizona Diamondbacks']
2001,Mike Mussina,17,11,34,0,202,214,6,87,['New York Yankees']
2001,Mike Stanton,9,4,76,0,80,78,3,25,['New York Yankees']
2001,Mike Timlin,4,5,67,3,78,47,3,35,['St. Louis Cardinals']
2001,Pedro Borbon,2,4,71,0,48,45,0,24,['Toronto Blue Jays']
2001,Pedro Martinez,7,3,18,0,84,163,4,33,['Boston Red Sox']
2001,Randy Johnson,21,6,35,0,181,372,8,74,['Arizona Diamondbacks']
2001,Randy Wolf,10,11,28,0,150,152,1,74,['Philadelphia Phillies']
2001,Rheal Cormier,5,6,60,1,49,37,1,26,['Philadelphia Phillies']
2001,Roberto Hernandez,5,6,63,28,69,46,6,34,['Kansas City Royals']
2001,Roger Clemens,20,3,33,0,205,213,14,94,['New York Yankees']
2001,Roy Halladay,5,3,17,0,97,96,4,41,['Toronto Blue Jays']
2001,Rudy Seanez,0,2,38,1,23,41,4,12,"['San Diego Padres', 'Atlanta Braves']"
2001,Russ Springer,0,0,18,1,20,12,2,16,['Arizona Diamondbacks']
2001,Ryan Dempster,15,12,34,0,218,171,5,123,['Florida Marlins']
2001,Steve Kline,3,3,89,9,53,54,1,16,['St. Louis Cardinals']
2001,Steve Trachsel,11,13,28,0,168,144,4,90,['New York Mets']
2001,Terry Mulholland,1,1,41,0,78,42,1,35,"['Los Angeles Dodgers', 'Pittsburgh Pirates']"
2001,Tim Hudson,18,9,35,0,216,181,9,100,['Oakland Athletics']
2001,Tim Wakefield,9,12,45,3,156,148,5,84,['Boston Red Sox']
2001,Todd Jones,5,5,69,13,87,54,3,39,"['Detroit Tigers', 'Minnesota Twins']"
2001,Tom Glavine,16,7,35,0,213,116,2,92,['Atlanta Braves']
2001,Tom Gordon,1,2,47,27,32,67,2,18,['Chicago Cubs']
2001,Trevor Hoffman,3,4,62,43,48,63,3,25,['San Diego Padres']
2002,A. J. Burnett,12,9,31,0,153,203,14,84,['Florida Marlins']
2002,Al Leiter,13,13,33,0,194,172,1,99,['New York Mets']
2002,Alan Embree,4,6,68,2,47,81,1,19,"['San Diego Padres', 'Boston Red Sox']"
2002,Andy Pettitte,13,5,22,0,144,97,2,58,['New York Yankees']
2002,Arthur Rhodes,10,4,66,2,45,81,2,18,['Seattle Mariners']
2002,Bartolo Colon,20,8,33,0,219,149,4,85,"['Montreal Expos', 'Cleveland Indians']"
2002,Billy Wagner,4,2,70,35,51,88,6,21,['Houston Astros']
2002,Bronson Arroyo,2,1,9,0,30,22,0,14,['Pittsburgh Pirates']
2002,Bruce Chen,2,5,55,0,85,80,4,53,"['New York Mets', 'Montreal Expos', 'Cincinnati Reds']"
2002,CC Sabathia,13,11,33,0,198,149,6,109,['Cleveland Indians']
2002,Chan Ho Park,9,8,25,0,154,121,9,95,['Texas Rangers']
2002,Chuck Finley,11,15,32,0,183,174,3,97,"['Cleveland Indians', 'St. Louis Cardinals']"
2002,Curt Schilling,23,7,36,0,218,316,6,95,['Arizona Diamondbacks']
2002,Dan Plesac,3,3,60,1,27,41,0,17,"['Toronto Blue Jays', 'Philadelphia Phillies']"
2002,Darren Oliver,4,5,14,0,70,32,1,30,['Boston Red Sox']
2002,David Weathers,6,3,71,0,69,61,2,30,['New York Mets']
2002,David Wells,19,7,31,0,210,137,4,100,['New York Yankees']
2002,Derek Lowe,21,8,32,0,166,127,5,65,['Boston Red Sox']
2002,Eddie Guardado,1,3,68,45,53,70,0,22,['Minnesota Twins']
2002,Fernando Rodney,1,3,20,0,25,10,0,15,['Detroit Tigers']
2002,Francisco Rodriguez,0,0,5,0,3,13,0,0,['Anaheim Angels']
2002,Greg Maddux,16,6,34,0,194,118,1,67,['Atlanta Braves']
2002,Greg Swindell,0,2,34,0,38,23,0,23,['Arizona Diamondbacks']
2002,Jamey Wright,7,13,23,0,130,77,9,80,"['St. Louis Cardinals', 'Milwaukee Brewers']"
2002,Jamie Moyer,13,8,34,0,198,147,3,89,['Seattle Mariners']
2002,Jason Isringhausen,3,2,60,32,46,68,0,22,['St. Louis Cardinals']
2002,Jeff Fassero,8,6,73,0,81,56,2,43,"['St. Louis Cardinals', 'Chicago Cubs']"
2002,Jeff Suppan,9,16,33,0,229,109,10,134,['Kansas City Royals']
2002,Jesse Orosco,1,2,56,1,24,22,2,10,['Los Angeles Dodgers']
2002,Joaquin Benoit,4,5,17,1,91,59,7,51,['Texas Rangers']
2002,Joe Nathan,0,0,4,0,1,2,0,0,['San Francisco Giants']
2002,John Smoltz,3,2,75,55,59,85,1,30,['Atlanta Braves']
2002,Jose Mesa,4,6,74,45,65,64,9,26,['Philadelphia Phillies']
