year,player,games_played,innings_played_in_outs,putouts,assists,errors,field_positions,teams
1986,Jim Slaton,36,340,13,18,0,['P'],"['Detroit Tigers', 'California Angels']"
1986,Jim Sundberg,134,3301,686,46,4,['C'],['Kansas City Royals']
1986,Joe Carter,174,4244,800,55,10,"['OF', '1B']",['Cleveland Indians']
1986,Joe Niekro,25,377,9,13,1,['P'],['New York Yankees']
1986,John Candelaria,16,275,3,10,0,['P'],['California Angels']
1986,John Franco,74,303,6,22,4,['P'],['Cincinnati Reds']
1986,Johnny Grubb,19,312,26,1,0,['OF'],['Detroit Tigers']
1986,Jose Canseco,155,4104,319,4,14,['OF'],['Oakland Athletics']
1986,Jose Cruz,134,3320,237,5,4,['OF'],['Houston Astros']
1986,Juan Beniquez,93,2082,211,56,13,"['OF', '1B', '3B']",['Baltimore Orioles']
1986,Juan Samuel,143,3758,290,440,25,['2B'],['Philadelphia Phillies']
1986,Julio Franco,147,3731,248,413,19,"['2B', 'SS']",['Cleveland Indians']
1986,Keith Hernandez,149,3906,1199,149,5,['1B'],['New York Mets']
1986,Ken Forsch,10,51,0,3,1,['P'],['California Angels']
1986,Ken Griffey,129,3104,232,7,5,"['OF', '1B']","['New York Yankees', 'Atlanta Braves']"
1986,Ken Oberkfell,171,3709,116,335,11,"['2B', '3B']",['Atlanta Braves']
1986,Ken Williams,10,221,18,1,0,['OF'],['Chicago White Sox']
1986,Kent Tekulve,73,330,4,22,3,['P'],['Philadelphia Phillies']
1986,Kevin Brown,1,15,0,1,0,['P'],['Texas Rangers']
1986,Kirk Gibson,114,2960,190,2,2,['OF'],['Detroit Tigers']
1986,Lance Parrish,85,2152,483,48,6,['C'],['Detroit Tigers']
1986,Larry Andersen,48,232,10,11,2,['P'],"['Houston Astros', 'Philadelphia Phillies']"
1986,Lee Lacy,120,3045,239,8,2,['OF'],['Baltimore Orioles']
1986,Lee Smith,66,271,1,12,0,['P'],['Chicago Cubs']
